Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
25,24/04/2008,RD437,PONTARLIER vers MORTEAU,1828
25,17/09/2008,RD437,PONTARLIER vers MONTBELIARD,1482
25,16/01/2009,A36,BESANCON vers MONTBELIARD,5974
25,07/10/2009,"Bld Churchill, 15 m après crf. rue Fontaine Ecu",DOLE vers BELFORT,4024
25,06/09/2010,RD461,VILLERS LE LAC vers MORTEAU,1786
25,07/10/2010,RD461,MORTEAU vers BESANCON,7854
25,27/10/2010,RD72,Dijon vers Pontarlier,166
25,12/01/2012,RD126,COLOMBIER FONTAINE vers MONTBELIARD,5634
25,19/01/2012,RD461,BESANCON vers MORTEAU,5849
25,26/01/2012,RD72,PONTARLIER vers LEVIER,1959
25,26/01/2012,RD33,ARCEY vers MONTBELIARD,589
25,26/01/2012,RD437,MATHAY vers AUDINCOURT,1338
25,26/01/2012,RD50,BAUME LES DAMES vers VALDAHON,556
26,08/01/2004,RN7,LORIOL SUR DROME vers MONTELIMAR,3633
26,19/10/2004,RN7,MONTELIMAR vers VALENCE,10479
26,17/03/2005,RD104,LORIOL SUR DROME vers CREST,408
26,24/03/2005,RN7,ST VALLIER vers ST RAMBERT D ALBON,599
26,12/07/2005,RN7,VALENCE VERS TAIN L HERMITAGE,1279
26,08/09/2005,RN7,MONTELIMAR VERS ORANGE,1585
26,08/09/2005,A7,VALENCE VERS BOLLENE,34913
26,19/11/2005,RD540,MONTELIMAR vers DIEULEFIT,2170
26,10/05/2006,RN532,ROMANS VERS VALENCE,11424
26,28/07/2006,A7,VALENCE VERS LYON,65623
26,12/02/2007,A7,VALENCE VERS LYON,35919
26,12/02/2007,RN7,MONTELIMAR VERS LORIOL SUR DROME,5072
26,20/02/2007,RN7,TAIN L HERMITAGE VERS VALENCE,9296
26,07/01/2008,RD541,GRIGNAN vers DONZERE,4179
26,07/01/2008,RD111,MONTOISON vers ETOILE SUR RHONE,498
26,22/02/2008,RD532,GRANGES LES BEAUMONT vers ROMANS,2945
26,18/12/2008,RN7,VALENCE VERS LORIOL SUR DROME,3593
26,30/12/2008,RN7,MARSEILLE vers LYON,20683
26,21/01/2009,RD538,VAUNAVEYS LA ROCHETTE vers CREST,2530
26,02/06/2009,RD538,MARGES vers PEYRINS,1990
26,02/10/2009,RN7,ORANGE vers VALENCE,1564
26,17/11/2014,RD59,ST PAUL TROIS CHATEAUX vers GRIGNAN,3249
27,31/03/2005,RD613,EVREUX VERS LISIEUX,358
27,27/04/2005,RN12,ALENCON VERS VERNEUIL,355
27,04/05/2005,RD6015,LOUVIERS VERS VERNON,517
27,06/09/2005,RD6014,GRAINVILLE vers ECOUIS,3390
27,11/01/2006,RD438,BERNAY vers BOISNEY,3614
27,30/01/2006,RD613,LISIEUX vers EVREUX,5294
27,30/01/2006,RD840,LE NEUBOURG vers ELBEUF,1553
27,30/01/2006,RD926,VERNEUIL vers L AIGLE,5894
27,27/02/2006,A28,ALENCON VERS ROUEN,13057
27,01/03/2006,A13,PARIS VERS ROUEN,15319
27,23/06/2006,A28,ROUEN VERS ALENCON,18099
27,05/02/2007,RD675,BEUZEVILLE vers PONT AUDEMER,1226
27,13/03/2007,RD51,MESNILS SUR ITON vers EVREUX,2485
27,28/01/2008,RN13,EVREUX VERS PACY SUR EURE,1963
27,04/06/2008,RN13,PACY SUR EURE VERS EVREUX,3087
27,16/07/2008,RD6014,PONTOISE vers ROUEN,6580
27,01/12/2008,RD438,Rouen vers Brionne,1294
27,11/12/2008,RD613,Lisieux vers Evreux,955
27,13/02/2009,A13,Paris vers Caen,10945
27,20/02/2009,RD133,BERNAY vers SERQUIGNY,924
27,02/05/2011,RN154,ORLEANS vers ROUEN,456
27,11/08/2011,RN12,DREUX vers VERNEUIL SUR AVRE,18121
27,26/01/2012,RN1013,EVREUX vers CAEN,5673
27,01/03/2012,RD438,BROGLIE VERS BERNAY,2412
27,29/03/2012,RD840,BRETEUIL SUR ITON VERS CONCHES EN OUCHE,1955
27,28/02/2008,RD51,MESNILS SUR ITON vers VERNEUIL SUR AVRE,1268
27,23/10/2009,RD6015,Gaillon vers Louviers,548
27,05/03/2012,RD181,VERNON VERS LES THILLIERS EN VEXIN,4440
28,15/10/2004,RD906,MAINTENON vers CHARTRES,2303
28,22/03/2005,RN10,CHARTRES VERS CHATEAUDUN,2017
28,06/04/2005,RD928,CHATEAUNEUF EN THYMERAIS vers DREUX,3218
28,13/04/2005,RD920,COURVILLE vers LA LOUPE,570
28,24/05/2005,RD921,BROU vers CHARTRES,2803
28,20/06/2005,RN12,PARIS VERS DREUX,4399
28,25/04/2007,RD2020,ORLEANS VERS PARIS,6911
28,03/12/2007,RN12,Alençon vers Dreux,3172
28,11/01/2008,RN12,DREUX VERS ALENCON,1406
28,18/06/2008,RD910,CHARTRES vers ABLIS,947
28,20/03/2009,RD954,ORLEANS vers CHARTRES,3000
28,10/04/2009,RD2020,PARIS vers ORLEANS,13185
28,27/07/2009,RN10,CHARTRES VERS CHATEAUDUN,4595
28,14/10/2010,RD910,Ablis vers Chartres,415
28,20/01/2011,RN1154,CHARTRES vers DREUX,3530
28,20/01/2011,RD921,CHARTRES vers ILLIERS COMBRAY,3262
28,24/02/2011,RD955,ORLEANS vers CHATEAUDUN,3498
28,12/01/2012,RD923,CHARTRES vers COURVILLE SUR EURE,1757
28,03/02/2012,RD939,CHARTRES vers CHATEAUNEUF,1135
28,03/02/2012,RD955,LUIGNY vers NOGENT LE ROTROU,783
28,06/02/2012,RD927,ALLAINES MERVILLIERS vers CHATEAUDUN,1331
28,13/02/2012,RD927,CHATEAUDUN vers ARROU,4343
28,21/05/2012,RN154,Chartres vers Orléans,8947
28,24/08/2012,RD933,ANET vers HOUDAN,2499
28,12/10/2012,RD927,ALLAINES vers CHATEAUDUN,1798
29,04/08/2004,RN165,QUIMPER VERS BREST,7995
29,25/07/2005,RN165,LORIENT VERS QUIMPER,4751
29,19/08/2005,RN165,BREST VERS QUIMPER,12812
29,22/09/2005,RD785,PONT L ABBE VERS QUIMPER,1536
29,27/10/2005,RN164,PLEYBEN VERS CHATEAULIN,1976
29,23/12/2005,RN12,ST BRIEUC VERS MORLAIX,6077
29,23/12/2005,RN12,MORLAIX VERS ST BRIEUC,5255
29,18/05/2007,RD786,LANMEUR VERS MORLAIX,722
29,30/01/2009,RD765,ROSPORDEN vers QUIMPER,1951
29,19/02/2009,RN165,Quimper vers Lorient,4634
29,27/02/2009,RD44,LA FORET FOUESNANT vers FOUESNANT,1922
29,09/03/2009,RN12,BREST vers MORLAIX,6520
29,11/05/2009,RD770,LESNEVEN vers LANDERNEAU,2911
29,23/06/2009,RD770,Landerneau vers Daoulas,303
2A,14/01/2005,RD81,SAGONNE vers AJACCIO,8137
2A,10/05/2005,RN193,CORTE VERS AJACCIO,6198
2A,23/03/2007,RD111,PARATA vers AJACCIO,14977
2A,10/03/2008,RN198,BONIFACIO vers PORTO VECCHIO,14282
2A,09/05/2008,RN198,BASTIA vers BONIFACIO,7726
2A,16/05/2008,RD859,FIGARI vers PORTO VECCHIO,1059
2A,04/06/2008,RN196,PROPRIANO vers BONIFACIO,6392
2A,17/11/2008,RN198,PORTO VECCHIO vers BASTIA,784
2A,24/06/2011,RN194,SARROLA CARCOPINO vers CORTE,8709
2A,24/06/2011,RN193,Ajaccio vers Bastia,10175
2A,01/12/2011,RD55,PORTICCIO vers PIETROSELLA,5803
2A,01/12/2011,RN196,BONIFACIO vers PROPRIANO,13656
2A,01/12/2011,RD859,PORTO VECCHIO vers FIGARI,3753
2A,08/12/2011,RD81,AJACCIO vers CARGESE,3078
2B,22/04/2005,RN198,SARI SOLENZARA VERS BASTIA,446
2B,20/09/2005,RT11 (ex RN193) Route du front de mer,BASTIA vers BORGO,7908
2B,05/04/2006,RT30,BASTIA vers CALVI,10526
2B,01/10/2006,RT10,BONIFACIO VERS BASTIA,897
2B,06/08/2007,RTE LIDO DE MARANA FACE ENTREE ILE DE SAN DAMIANO,SUD vers NORD,4575
2B,26/06/2008,RT10,BASTIA vers BONIFACIO,1264
2B,09/07/2008,RN193,BASTIA vers CORTE,4077
2B,28/08/2008,RN193,CORTE vers BASTIA,3336
2B,25/02/2009,"RTE DU CORDON LAGUNAIRE DE LA MARANA, HAUTEUR CCAS",LUCCIANA VERS BIGUGLIA,542
2B,10/03/2011,RN198,PORTO VECCHIO vers BASTIA,12410
2B,07/04/2011,RT10,PORTO VECCHIO vers BASTIA,4368
2B,14/04/2011,RN198,BASTIA vers PORTO VECCHIO,7020
2B,22/11/2012,RN198,Venzolasca vers Castellare di Casinca,621
30,09/02/2005,RD6100,NIMES VERS AVIGNON,21101
30,15/05/2005,RN106,MENDE VERS ALES,802
30,06/06/2005,RD999,NIMES VERS BEAUCAIRE,437
30,06/06/2005,RD135,VAUVERT vers NIMES,4035
30,24/11/2005,RD6,ALES vers BAGNOLS SUR CEZE,10307
30,13/01/2006,RN100,REMOULINS VERS AVIGNON,1435
30,10/08/2006,A9,MONTPELLIER VERS NIMES,6145
30,23/11/2006,A9,NIMES VERS MONTPELLIER,10180
30,05/02/2007,RD6580,BAGNOLS SUR CEZE vers LES ANGLES,4603
30,19/09/2007,RD6113,ARLES VERS NIMES,4400
30,29/04/2009,RN113,Lunel vers Nimes,1667
30,15/05/2009,RN113,NIMES vers LUNEL,7509
30,10/09/2009,RN106,Alès vers Nîmes,5062
30,01/10/2009,RN106,Nîmes vers Alès,3907
30,12/11/2010,RD980,ST GENIES DE COMOLAS vers ROQUEMAURE,464
30,17/12/2010,RD999,LE VIGAN vers NIMES,763
30,11/01/2011,RD38,ST GILLES VERS BELLEGARDE,4042
30,26/01/2011,RD135,CAISSARGUES vers AUBORD,1266
30,26/01/2011,RD135,POULX vers MARGUERITTES,2119
30,16/02/2011,RD982,UZES VERS MOUSSAC,1244
30,25/02/2011,RD6110,ALES VERS MONTPELLIER,2040
30,19/05/2011,RD6086,REMOULINS VERS NIMES,3195
30,31/05/2011,RD6580,VILLENEUVE LES AVIGNON vers BAGNOLS SUR CEZE,1979
30,06/06/2011,RD999,NIMES VERS QUISSAC,10451
30,09/06/2011,RD999,NIMES vers QUISSAC,4204
30,13/10/2011,RD6086,BAGNOLS SUR CEZE VERS REMOULINS,667
30,03/01/2012,RD6,ALES vers BAGNOLS,3790
30,19/01/2012,RD904,ALES vers SAINT AMBROIX,3623
30,27/01/2012,RD999,Ganges vers St Hippolyte du Fort,2038
30,05/04/2013,RD999,BEAUCAIRE vers NIMES,2621
30,26/04/2013,RD999,NIMES vers BEAUCAIRE,2167
30,20/06/2014,RD999,ST HIPPOLYTE DU FORT vers GANGES,3733
31,28/05/2005,RD820,TOULOUSE vers FOIX,327
31,26/08/2005,A620,TARBES VERS MONTPELLIER,7488
31,05/12/2005,N 129 - ALLEES DE BRIENNE,PERIPHERIQUE VERS CENTRE VILLE,10556
31,03/02/2006,A64,BAYONNE VERS TOULOUSE,3544
31,04/03/2006,A64,TOULOUSE VERS BAYONNE,5943
31,06/08/2007,A68,TOULOUSE VERS ALBI,1179
31,03/06/2008,RN224,TOULOUSE VERS CADOURS,1721
31,02/01/2009,"Av Bazerque, face au n°222 de la route de St Simon",Périphérique vers Basso Cambo,6277
31,06/03/2009,"Route de Seysses, face au n°236",Seysses vers Toulouse,3882
31,02/12/2009,"Face au n° 120, rue Henri DESBALS",Quartier du MIRAIL vers centre ville de TOULOUSE,4742
31,03/03/2010,RD632,TOURNEFEUILLE VERS FONSORBES,2654
31,31/01/2011,RN125,GALIE VERS BAGNERES DE LUCHON,6011
31,13/05/2011,RD3,LABASTIDETTE VERS MURET,2816
31,31/05/2011,RD4,FRONTON VERS TOULOUSE,805
31,12/01/2012,RD820,MONTAUBAN VERS TOULOUSE,2260
31,26/01/2012,RD17,GRENADE VERS MONTAIGUT SUR SAVE,1815
31,30/01/2012,RD8,ST GAUDENS vers SEILHAN,92
31,27/02/2012,RD 113 (Rte de Narbonne 118 face station Métro UPS,RAMONVILLE ST AGNE vers TOULOUSE,7843
31,05/03/2012,RD820,FOIX VERS TOULOUSE,5146
31,28/09/2012,RN125,ESPAGNE vers MONTREJEAU,13892
32,18/02/2005,RN21,TARBES vers AUCH,3445
32,08/03/2005,RN21,TARBES vers AGEN,1097
32,03/09/2005,RN124,AUCH VERS TOULOUSE,565
32,21/07/2006,RN21,AGEN VERS AUCH,577
32,20/01/2007,RN21,AUCH VERS AGEN,698
32,06/03/2007,RN124,AUCH vers VIC FEZENSAC,8045
32,01/09/2008,RN124,Auch vers Mont de Marsan,119
32,17/02/2009,RD930,AUCH vers CONDOM,2767
32,21/10/2009,RN124,TOULOUSE vers AUCH,29799
32,20/11/2009,RD935,MARCIAC vers AIRE SUR L ADOUR,1653
32,14/12/2009,RD929,Masseube vers Auch,453
32,08/01/2010,RD931,CONDOM vers EAUZE,131
32,02/11/2010,RD634,L ISLE JOURDAIN vers SAMATAN,2986
32,04/01/2011,RN524,EAUZE vers CAZAUBON,1278
32,19/07/2011,RD632,BOULOGNE SUR GESSE vers LOMBEZ,2246
32,20/07/2011,RN124,Vic Fezensac vers Auch,595
32,07/10/2011,RN21,TARBES vers MIELAN,435
32,06/09/2013,RD931,CONDOM vers AGEN,4462
33,16/12/2003,RD1113,BORDEAUX vers LANGON,5533
33,16/01/2004,A630,PARIS VERS BORDEAUX,47097
33,29/03/2005,RD670,ST ANDRE DE CUBZAC VERS LIBOURNE,3719
33,12/04/2005,RD106,ARES VERS BORDEAUX,944
33,18/04/2005,RD936,CASTILLON VERS LIBOURNE,1490
33,16/05/2005,A62,TOULOUSE VERS BORDEAUX,14972
33,01/10/2005,A630,BAYONNE VERS PARIS,28384
33,01/10/2005,RD1215,BORDEAUX VERS LESPARRE MEDOC,304
33,10/12/2005,RD137,BORDEAUX VERS SAINTES,559
33,21/02/2007,RD1215,BORDEAUX vers LESPARRE MEDOC,2645
33,30/03/2007,A630,BORDEAUX VERS PARIS,14242
33,09/07/2007,A62,Bordeaux vers Toulouse,4759
33,17/11/2008,RD6,STE HELENE VERS LACANAU,7790
33,17/06/2009,RD1113,BORDEAUX VERS LANGON,777
33,15/07/2009,Rue de MACAU,LUDON MEDOC vers BORDEAUX,4287
33,31/07/2009,RD932,PAU VERS LANGON,4985
33,30/04/2012,RD936,BORDEAUX VERS BERGERAC,3050
33,30/04/2012,RD670,LIBOURNE vers BERGERAC,15325
33,30/04/2012,RD674,Libourne vers Coutras,706
33,15/06/2012,RD1,LESPARRE MEDOC vers BORDEAUX,5975
33,20/07/2012,RD3,CARCANS VERS HOURTIN,4790
33,21/09/2012,RD213,Bordeaux vers Martignas sur Jalle,274
33,21/09/2012,RD652,SANGUINET VERS GUJAN MESTRAS,1242
33,15/07/2013,RN89,LIBOURNE vers BORDEAUX,12163
34,02/10/2004,RD612,SETE VERS MONTPELLIER,8908
34,23/02/2005,RD612,AGDE vers BEZIERS,4187
34,04/07/2005,AV. DE LA LIBERTE A HAUTEUR AV. DE LA COLLINE,JUVIGNAC VERS LATTES,12812
34,17/10/2005,RD11,BEZIERS VERS NARBONNE,442
34,04/12/2005,RD17,VALFLAUNES VERS LE TRIADOU,3110
34,03/02/2006,RD986,MONTPELLIER vers GANGES,6160
34,19/03/2006,A709,BEZIERS VERS NIMES,46127
34,19/02/2007,RD65,LATTES VERS JUVIGNAC,13165
34,12/03/2007,RD2,BALARUC LES BAINS VERS SETE,772
34,22/02/2008,RN9,BEZIERS vers PEZENAS,2907
34,01/03/2008,RD51,Mèze vers Marseillan,1468
34,09/01/2009,RD612,Béziers vers Vias,3112
34,21/01/2009,RD66,CARNON PLAGE vers MONTPELLIER,20812
34,05/03/2009,RD609,COURSAN VERS BEZIERS,4958
34,02/10/2009,RD908,CLERMONT L HERAULT vers LAMALOU LES BAINS,680
34,13/11/2009,RD908,LAMALOU LES BAINS vers CLERMONT L HERAULT,635
34,01/08/2012,"Avenue de l'Europe, face ""Les Milles et une Choses",GRABELS vers JUVIGNAC,12815
34,01/08/2012,A709,NIMES vers BEZIERS,70700
34,01/07/2013,RD 51,MARSEILLAN vers MEZE,569
34,30/09/2013,RD66 (Avenue Pierre Mendès-France),MONTPELLIER vers PEROLS,8498
34,30/09/2013,RD66 (Avenue Pierre Mendès-France),PEROLS vers MONTPELLIER,8747
34,17/08/2015,RD64,BEZIERS vers SERIGNAN,1173
34,18/09/2015,RD986,GANGES vers MONTPELLIER,1685
34,12/10/2015,"Av Frêche, 160 m en amont du chemin de Soriech",MONTPELLIER vers LATTES,9930
35,24/12/2003,RN157,RENNES VERS LAVAL,3165
35,13/01/2004,RN12,RENNES VERS ST BRIEUC,8918
35,07/01/2005,RN136,ST BRIEUC VERS LAVAL,9293
35,03/06/2005,RD795,DOL DE BRETAGNE vers COMBOURG,11274
35,11/06/2005,RD34,CHARTRES DE BRETAGNE vers VERN SUR SEICHE,3337
35,01/08/2005,RD168,DINARD VERS ST MALO,4193
35,16/01/2006,RD857,ST JEAN SUR VILAINE VERS CHATEAUBOURG,302
35,16/01/2006,RD772,BAIN DE BRETAGNE vers MESSAC,1875
35,16/01/2006,RD177,REDON vers RENNES,82
35,18/05/2007,RN136,PARIS VERS PROVINCE,10688
35,22/06/2007,RN12,ERNEE VERS FOUGERES,1375
35,29/06/2007,RN176,PONTORSON VERS DINAN,27698
35,19/02/2008,RD777,Janzé vers Vitré,672
35,21/02/2008,RD178,Fougères vers Vitré,1185
35,25/02/2008,RN136,porte de St Malo vers porte de Brest,8887
35,10/11/2008,RD178,VITRE VERS LA GUERCHE DE BRETAGNE,1801
35,12/11/2008,RD155,ST BENOIT DES ONDES vers ST MALO,3098
35,19/11/2008,RD62,BREAL SOUS MONTFORT VERS TALENSAC,2911
35,30/12/2008,RD873,La Gacilly vers Redon,5273
35,02/01/2009,RN12,RENNES VERS ALENCON,4466
35,24/09/2010,RD155,FOUGERES vers DOL DE BRETAGNE,6446
35,14/04/2011,RD168,TREGON vers DINARD,686
35,15/04/2011,RD178,VITRE vers FOUGERES,472
35,26/04/2011,RD34,MORDELLES vers CHARTRES DE BRETAGNE,27458
35,22/08/2011,RD34,NOYAL CHATILLON SUR SEICHE vers CHAVAGNE,2505
35,03/02/2012,RN137,RENNES vers BAIN DE BRETAGNE,8428
35,13/02/2012,RD776,Rennes vers Guer,2668
35,13/02/2012,RD35,MONTFORT SUR MEU vers ST PERAN,4784
35,27/02/2012,RD44,BRUZ vers GOVEN,318
35,15/01/2016,RD48,BOURG DES COMPTES vers CREVIN,4269
36,20/01/2005,RD920,LIMOGES vers PARIS,835
36,23/05/2005,RD943,CHATEAUROUX vers TOURS,3685
36,30/05/2005,RD956,LEVROUX vers VALENCAY,1414
36,18/07/2005,RD943,LA CHATRE vers MONTLUCON,2254
36,07/11/2005,RN151,BOURGES VERS CHATEAUROUX,452
36,06/02/2006,A20,PARIS VERS LIMOGES,3610
36,23/02/2007,RD951,CHATEAUROUX VERS POITIERS,113
36,16/03/2007,RD975,LE BLANC VERS CHATILLON SUR INDRE,393
36,07/08/2007,A20,toulouse vers paris,3757
36,28/09/2007,RN151,BOURGES vers CHATEAUROUX,1100
36,17/10/2007,RD925,CHATEAUROUX vers CHATELLERAULT,2296
36,05/12/2007,A20,Chateauroux vers Vierzon,3404
36,04/02/2008,A20,Châteauroux vers Limoges,1524
36,22/02/2008,RD925,LIGNIERES vers CHATEAUROUX,1476
36,07/11/2008,RD943,ARDENTES vers MERS SUR INDRE,5241
36,28/11/2008,RD925,Diors vers Châteauroux,195
36,28/11/2008,RD943,CHATEAUROUX vers BUZANCAIS,5039
36,05/12/2008,RD956,LEVROUX vers CHATEAUROUX,2868
36,29/12/2008,RN151,CHATEAUROUX vers ISSOUDUN,4273
36,30/01/2012,RD67,LE POINCONNET vers ST MAUR,547
36,14/09/2012,Face au n°17 Bld Croix Normand,Rd Point pont de la  Brenne vers Av de la Châtre,850
37,29/03/2005,RD943,LOCHES vers TOURS,2827
37,19/06/2005,RD976,LARCAY vers TOURS,15242
37,27/03/2006,RD938,LE MANS VERS TOURS,749
37,09/08/2006,RD37,JOUE LES TOURS VERS LA RICHE,1959
37,02/10/2006,RN10,CHATEAU RENAULT vers AMBOISE,6045
37,13/02/2007,RD751,CHINON vers TOURS,804
37,07/12/2007,RD952,BLOIS vers TOURS,356
37,22/02/2008,RD751,Tours vers Chinon,13374
37,25/03/2008,RD910,STE MAURE vers TOURS,1851
37,24/04/2008,RD976,BLERE vers MONTRICHARD,1730
37,02/05/2008,RD910,Tours vers Paris,448
37,02/05/2008,RD7,LIGNIERES DE TOURAINE vers VILLANDRY,550
37,11/09/2009,RD959,LA FLECHE vers TOURS,1615
37,11/09/2009,RD29,BEAUMONT LA RONCE vers CHEMILLE SUR DEME,136
37,07/10/2010,RD943,FLERE LA RIVIERE vers LOCHES,9880
37,27/10/2010,RD943,Tours vers Loches,13282
37,26/07/2011,RD140,BLERE vers TOURS,2097
37,14/11/2011,RD952,Tours vers Saumur,297
37,29/12/2011,RD910,TOURS vers MONNAIE,261
37,03/01/2012,RD751,TOURS vers AMBOISE,282
37,26/01/2012,RD910,MONNAIE vers TOURS,613
38,18/11/2004,RN7,VIENNE VERS VALENCE,1571
38,10/02/2005,RD1532,VALENCE vers GRENOBLE,6157
38,07/03/2005,RD1006,BOURGOIN JALLIEU VERS LYON,309
38,11/04/2005,RD1085,LYON VERS GRENOBLE,1814
38,14/04/2005,RD5,VIZILLE VERS GRENOBLE,177
38,26/04/2005,RN87,GRENOBLE VERS CHAMBERY,10603
38,15/06/2005,RD1090,GRENOBLE vers CHAMBERY,2198
38,18/07/2005,RD1006,BOURGOIN JALLIEU vers LA TOUR DU PIN,3933
38,03/11/2005,RD1085,GRENOBLE VERS LYON,1760
38,17/03/2006,RD1092,VALENCE vers VOIRON,1441
38,25/06/2007,RD502,VIENNE VERS ST JEAN DE BOURNAY,2658
38,29/06/2007,RD517,PONT DE CHERUY vers CREMIEU,2603
38,05/11/2007,RD1075,SISTERON VERS GRENOBLE,11717
38,05/12/2007,RD1075,GRENOBLE VERS BOURG EN BRESSE,4079
38,24/12/2007,RD51,ROUSSILLON VERS LA COTE ST ANDRE,577
38,13/10/2008,A46,Nord vers Sud,5374
38,19/12/2008,RD1091,LE BOURG D OISANS VERS GRENOBLE,383
38,29/09/2009,RD1006,LES ABRETS EN DAUPHINE vers ST DIDIER DE LA TOUR,287
38,20/08/2010,RD1075,VOIRON vers LES ABRETS EN DAUPHINE,5799
38,12/11/2010,RD313,BOURGOIN JALLIEU vers LYON,2050
38,10/12/2010,RD55,LYON VERS CREMIEU,2317
38,21/03/2011,RN85,LAFFREY vers VIZILLE,6187
38,07/04/2011,RD1085,RIVES SUR FURE vers BOURGOIN JALLIEU,9465
38,27/02/2012,RD1075,LAGNIEU vers MORESTEL,2481
38,06/04/2012,RD1091,LE BOURG D OISANS vers VIZILLE,9705
38,06/03/2006,RD525,ALLEVARD vers GONCELIN,5399
39,30/03/2005,RD436,ST CLAUDE VERS OYONNAX,243
39,08/04/2005,RN83,BESANCON vers LONS LE SAUNIER,4072
39,25/04/2005,RD1083,LONS LE SAUNIER VERS ST AMOUR,112
39,06/06/2005,RD52,LONS LE SAUNIER vers ORGELET,3894
39,01/07/2006,RN5,ST LAURENT EN GRANDVAUX VERS LES ROUSSES,2026
39,01/02/2007,RN5,LES ROUSSES vers ST LAURENT EN GRANDVAUX,1037
39,19/02/2007,RD905,DOLE vers POLIGNY,3191
39,30/04/2007,RD475,DOLE vers MONTMIREY LE CHATEAU,109
39,26/09/2008,RN5,MORBIER vers POLIGNY,7380
39,01/10/2008,RD673,Besançon vers Dole,152
39,07/11/2008,RD905,CHALON SUR SAONE vers BESANCON,5926
39,25/03/2009,RD1083,BOURG EN BRESSE vers LONS LE SAUNIER,1106
39,05/03/2011,RD673,DÔLE vers CHÂLON SUR SAÔNE,7116
39,31/03/2011,A39,BOURG EN BRESSE vers DIJON,11155
39,15/04/2011,RD70,LONS LE SAUNIER vers VOITEUR,3748
39,28/10/2011,RD1083,LONS LE SAUNIER vers BOURG EN BRESSE,6113
39,06/04/2012,RD471,CHAMPAGNOLE vers PONTARLIER,575
39,13/04/2012,RD1083,LONS LE SAUNIER vers BESANCON,5596
40,30/03/2005,RD 810,BORDEAUX VERS BAYONNE,729
40,30/03/2005,RD 817,PAU VERS BAYONNE,198
40,19/08/2005,RD934,BORDEAUX VERS PAU,114
40,23/04/2007,RD947,ORTHEZ vers DAX,3080
40,23/05/2007,RD30,LE HOUGA vers MONT DE MARSAN,2076
40,16/01/2009,RD933,CASTELJALOUX vers MONT DE MARSAN,8405
40,18/02/2009,RD46,MIOS vers BISCARROSSE,3852
40,25/03/2009,RD932,Captieux vers Roquefort,2811
40,01/12/2010,RD652,SANGUINET vers BISCARROSSE,15306
40,24/02/2011,RD824,BAYONNE vers DAX,308
40,28/03/2011,RD824,DAX vers BAYONNE,133
40,18/07/2011,RD834,Saugnacq et Muret vers Mont de Marsan,1917
40,28/09/2011,RD834,MONT DE MARSAN vers SAUGNACQ ET MURET,1403
40,26/01/2012,RD933N,MONT DE MARSAN vers MARMANDE,5532
40,26/01/2012,RD817,BAYONNE vers PAU,1517
40,17/02/2012,RD824,Mont de Marsan vers Dax,113
40,05/03/2012,RD824,DAX vers MONT DE MARSAN,125
40,15/03/2012,RD934,AIRE SUR L ADOUR vers VILLENEUVE DE MARSAN,4218
40,18/08/2017,RD933S,ORTHEZ vers HAGETMAU,10915
41,22/03/2005,RD976,VIERZON vers TOURS,6957
41,23/08/2005,RD765,BLOIS vers ROMORANTIN LANTHENAY,365
41,01/09/2005,RD951,BLOIS vers ORLEANS,1253
41,01/09/2005,RN10,VENDOME vers CHATEAU RENAULT,19760
41,01/10/2005,RD924,MOISY vers BLOIS,1420
41,07/11/2005,RD724,SELLES SUR CHER vers ROMORANTIN LANTHENAY,5149
41,10/08/2006,RN10,VENDOME vers TOURS,181
41,09/05/2007,RD956,VENDOME VERS ROMORANTIN LANTHENAY,6830
41,17/10/2007,RD2020,VIERZON vers ORLEANS,9323
41,19/10/2007,RD952,TOURS vers BLOIS,4698
41,26/10/2007,RD357,Le Mans vers Orléans,3585
41,13/03/2009,RD2152,ORLEANS vers BLOIS,15619
41,09/04/2009,RD924,BLOIS vers CHATEAUDUN,3133
41,07/07/2009,RD357,ORLEANS vers LE MANS,959
41,28/10/2009,RD952,TOURS vers BLOIS,13
41,01/06/2011,RN10,TOURS vers VENDÔME,4193
41,14/11/2011,RD765,Romorantin vers Blois,385
41,03/02/2012,RD952,BLOIS vers TOURS,1709
41,03/02/2012,RD764,CHAILLES vers PONTLEVOY,3921
41,20/08/2012,RD917,VENDOME vers MONTOIRE SUR LE LOIR,394
41,08/07/2013,RD751,BLOIS vers TOURS,1480
42,11/02/2005,RD1082,ST ETIENNE VERS ROANNE,7351
42,13/03/2005,RD1082,MONTROND LES BAINS VERS ST ETIENNE,770
42,01/04/2005,RD482,DIGOIN VERS ROANNE,3466
42,15/04/2005,RN7,MOULINS vers ROANNE,3628
42,07/06/2005,RN88,FIRMINY VERS LYON,35022
42,26/09/2005,RD12,ANDREZIEUX BOUTHEON VERS ST GALMIER,1125
42,17/01/2007,RD8,SURY LE COMTAL vers MONTBRISON,3941
42,16/02/2007,RD1082,PLANFOY VERS BOURG ARGENTAL,560
42,23/05/2007,RN88,ST ETIENNE VERS ST CHAMOND,10169
42,13/12/2007,RN88,FIRMINY vers ST CHAMOND,6199
42,26/03/2008,RD500,FIRMINY vers ST JUST MALMONT,5644
42,06/08/2008,RD12,ST GALMIER vers CHAZELLES SUR LYON,1635
42,13/09/2008,RD1089,Feurs vers Boën,1490
42,19/11/2008,RD1082,ANNONAY vers BOURG ARGENTAL,3341
