Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
05,27/02/2006,RN94,GAP vers BRIANCON,18110
05,19/06/2006,RN94,EMBRUN vers GAP,121
05,22/02/2008,RN94,Briançon vers Gap,1394
05,22/02/2008,RN85,Gap vers Grenoble,456
05,02/04/2008,RD994,GAP vers VEYNES,7095
05,06/08/2008,RD1075,GRENOBLE vers SISTERON,2171
05,02/10/2009,RN85,GRENOBLE vers GAP,19382
05,08/10/2009,RN85,GAP vers SISTERON,3918
05,10/05/2010,RN85,Grenoble vers Gap,975
05,01/10/2011,RD942,BRIANCON vers SISTERON,24145
05,04/10/2011,RN94,GAP vers BRIANCON,1307
05,20/10/2011,RD1075,Sisteron vers Grenoble,3487
06,10/05/2004,A8,MARSEILLE VERS MENTON,60344
06,10/05/2004,RD6098,ANTIBES VERS VILLEFRANCHE SUR MER,14838
06,19/01/2006,ROUTE DU BORD DE MER,CAGNES SUR MER VERS NICE,4185
06,09/02/2006,RD6202,NICE VERS DIGNE LES BAINS,3544
06,21/02/2006,RD6202,DIGNE LES BAINS VERS NICE,2609
06,28/02/2006,ROUTE DU BORD DE MER,NICE VERS CAGNES SUR MER,6660
06,08/05/2006,RD2085,GRASSE vers VILLENEUVE LOUBET,4845
06,06/07/2006,RD35,ANTIBES VERS VALBONNE,15303
06,12/05/2007,RD6007,MONACO VERS NICE,19769
06,12/11/2007,RD19,Tourrette Levens vers Nice,238
06,22/05/2008,A8,Cannes vers Nice,28721
06,04/06/2008,A8,Nice vers Cannes,45466
06,12/07/2008,RD6007,VILLEFRANCHE SUR MER vers ANTIBES,30715
06,21/10/2011,266mètres avant la sortie du tunnel André Liautaud,NICE vers LA TRINITE,42699
06,13/02/2012,Face au n° 46 du  Boulevard de la Plage,ST LAURENT DU VAR vers VILLENEUVE LOUBET,18368
06,13/02/2012,"Voie Malraux , 6 m après le candélabre n° 3/8/5006",NICE vers ST LAURENT DU VAR,24419
06,17/02/2012,Avenue de la Porte de France,MENTON vers ITALIE,5122
06,20/02/2012,RD2085,ROQUEFORT LES PINS vers VILLENEUVE LOUBET,1581
06,05/03/2012,Face au 37 Boulevard de Cimiez,Avenue Georges 5 vers bd Dubouchage,13535
06,08/03/2012,Avenue de la Porte de France,ITALIE vers MENTON,14244
06,13/04/2012,Face au n° 31 de l'avenue Paul Doumer,Menton vers Monaco,10679
06,03/05/2012,Face au n° 7 de l'avenue Paul DOUMER - RD 52,MONACO vers MENTON,14010
06,28/09/2012,Voie Mathis hauteur de la bretelle d'entrée Bellet,Nice vers St Laurent du Var,13593
06,23/11/2012,RD336,Vence vers Cagnes sur Mer,7390
07,24/11/2004,RD104,PRIVAS vers LORIOL SUR DROME,1097
07,04/01/2005,RD104,AUBENAS vers ALES,6697
07,03/02/2005,RD86,TOURNON SUR RHONE vers ST PERAY,3376
07,24/05/2006,RD86,BOURG ST ANDEOL vers VIVIERS,8738
07,28/06/2006,RD820,SERRIERES vers ANNONAY,6934
07,19/02/2007,RN102,LE PUY VERS MONTELIMAR,16063
07,05/10/2007,RD533,ST PERAY vers ALBOUSSIERE,636
07,10/12/2007,RD2,PRIVAS VERS LE POUZIN,5633
07,07/01/2008,RD579,Ruoms vers Aubenas,2939
07,19/02/2008,RN102,AUBENAS vers LE PUY EN VELAY,574
07,29/10/2008,RD104,Aubenas vers Ales,314
07,01/07/2009,RD86,BOURG ST ANDEOL VERS PONT ST ESPRIT,6186
07,12/08/2009,RN102,Aubenas vers le Teil,759
07,23/09/2010,RD111,RUOMS vers BEAULIEU,724
07,19/08/2011,RD120,ST LAURENT DU PAPE vers LES OLLIERES,6042
07,29/09/2011,RD104a,LABLACHERE vers LES VANS,13265
07,30/09/2011,RD82,DAVEZIEUX vers ANDANCE,937
08,11/03/2005,RD8051,FUMAY vers VIREUX MOLHAIN,3129
08,23/09/2005,RN43,CHARLEVILLE MEZIERES VERS SEDAN,2202
08,28/09/2005,RD8043,CARIGNAN vers SEDAN,1983
08,20/04/2007,RD988,REVIN VERS RENWEZ,885
08,18/05/2007,RD985,NOVION PORCIEN VERS RETHEL,655
08,07/11/2007,RN1043,BELGIQUE vers CHARLEVILLE MEZIERES,7944
08,07/01/2008,RD977,CHEMERY CHEHERY vers SEDAN,1678
08,22/02/2008,RD946,GRANDPRE vers VOUZIERS,497
08,20/06/2008,RN51,CHARLEVILLE MEZIERES vers REIMS,8597
08,27/11/2008,RD1,Charleville Mézières vers Nouzonville,427
08,26/10/2010,RN43,CHARLEVILLE MEZIERES vers HIRSON,6451
08,26/10/2010,RN43,HIRSON vers CHARLEVILLE MEZIERES,8626
08,29/10/2010,RD988,RENWEZ vers REVIN,804
08,27/01/2011,RD946,RETHEL vers MARLE,607
08,04/03/2011,RD946,MARLE vers RETHEL,538
